espn_order,player_name,source_player_name,in_current_checkpoint,source_name,source_updated_date,source_url,notes
174,Kansas City Chiefs,Chiefs D/ST,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,Canonicalized source display name for exact join to the current project player naming.
175,Dallas Cowboys,Cowboys D/ST,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,Canonicalized source display name for exact join to the current project player naming.
176,Malik Willis,Malik Willis,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
177,Brian Robinson Jr.,Brian Robinson Jr.,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
178,Brenton Strange,Brenton Strange,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
179,Will Reichard,Will Reichard,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
180,Jacksonville Jaguars,Jaguars D/ST,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,Canonicalized source display name for exact join to the current project player naming.
181,Jordyn Tyson,Jordyn Tyson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
182,Calvin Ridley,Calvin Ridley,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
183,Jerry Jeudy,Jerry Jeudy,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
184,Justice Hill,Justice Hill,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
